Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[ancestry category]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[enrichment method]	Characteristics[enrichment process]	Characteristics[synthetic peptide]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[enrichment method]	Factor Value[enrichment process]	sampleChecksum	sampleAccession
PXD002255-Sample 1	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 1	ES_XP_Membrane_97L_214.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_214.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	60ad2e2c117d7dee746bc534d4f78e4439f2dddc89a78ce6cc304e129a72a9f7	SAMEA7713831
PXD002255-Sample 2	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 2	ES_XP_Membrane_97L_215.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_215.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	2f4beeb16a693e156e930a20d3ff7f0f4db451f78cdca89d81ff25b88097f391	SAMEA7713832
PXD002255-Sample 3	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 3	ES_XP_Membrane_97L_216.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_216.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	34e18db14afb64443c929523c506ddedb1161048ed516ef2a0f9d43bec03e469	SAMEA7713833
PXD002255-Sample 4	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 4	ES_XP_Membrane_97L_217.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_217.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	a63a2fcf617d8dc18126210d3548140bea5b4b9bfd068ab5f6914bd20724e449	SAMEA7713834
PXD002255-Sample 5	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 5	ES_XP_Membrane_97L_218.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_218.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	e6c43ac497bda18747f64b63a241615334ce6e30655b3c1bd66d85753e7d97f5	SAMEA7713835
PXD002255-Sample 6	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 6	ES_XP_Membrane_97L_219.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_219.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	63f640bfe3d6d2b7d4470b37a6c64abcdbaa6cb00d7f23afd6d116cb7666e7d0	SAMEA7713836
PXD002255-Sample 7	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 7	ES_XP_Membrane_97L_220.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_220.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	ad488713c8d2aad26b7dd9400e1995cb1dd207db04c02d704675c44bd83e3da7	SAMEA7713837
PXD002255-Sample 8	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 8	ES_XP_Membrane_97L_221.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_221.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	f3350c1ecda910336657040f02f5695de0c4cf2dc1213caecd844948b7898f52	SAMEA7713838
PXD002255-Sample 9	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 9	ES_XP_Membrane_97L_222.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_222.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	91dd5aac286d07c45da068fb13707c664e57ef0af48924c6aa3755cd352713c6	SAMEA7713839
PXD002255-Sample 10	Homo sapiens	membrane proteins	39Y	adult	Chinese	MHCC97L	not available	male	hepatocellular carcinoma (HCC)	ultracentrifugation	enrichment of membrane protein	not synthetic	run 10	ES_XP_Membrane_97L_223.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/07/PXD002255/ES_XP_Membrane_97L_223.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	40% NCE	not available	not available	ultracentrifugation	enrichment of membrane protein	752710092b052eaa79a78f637c7d23c147e053f5d48d141a33bf77bc9da1a877	SAMEA7713840
